G:\StrontiumData\2020\2020.12\12.13,G:\StrontiumData\2020\2020.12\12.14,G:\StrontiumData\2020\2020.12\12.15,G:\StrontiumData\2020\2020.12\12.16,G:\StrontiumData\2020\2020.12\12.17
01 - live pd,01 - LivePD - no MOT,01 - LivePD,01 - live pd,
02 - rm1 tof,02 - LivePD,02 - Using BIFROST wavemeter,02 - rm1 tof,
03 - rm1 tof repeat,03 - redMOT-1 Check,03 - LivePD,03 - odt hold tof,
04 - odt hold tof,04 - ODT hold,04 - RM1 TOF,04 - vary evap end,
05 - odt hold tof clock problem again,05 - BEC vary Evap,05 - ODT Hold TOF,05 - bec tof evap end 0.16,
06 - vary evap end,06 - BEC TOF bad repump mode,06 - BEC - vary evapend,06 - bec repeats,
07 - bec tof,07 - BEC TOF,07 - BEC TOF - set evap end to 0.16,07 - bec repeats 2,
08 - bec repeats,08 - BEC repeat - laser died early on,08 - BEC Repeats,08 - bec repeats 3,
,09 - BEC Repeats,09 - Laser failed again - restart,09 - 1064 8.5Er 915 0.2Er lattice hold 5000ms PZT offset 5V amp 4.5V 5-50Hz,
,10- BEC Repeats 2 - maybe bad bc repump bad,10 - BEC Repeats,10 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 5V amp 4.5V 1-50Hz,
,11 - FIXING REPUMP,11 - BEC repeats 2,11 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 5V amp 3V 1-50Hz,
,12 - More BEC Repeats,12 - bec repeats 3,12 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 5V amp 1.5V 1-50Hz,
,13 - odt hold tof,13 - bec tof,13 - 1064 8.5Er 915 0.5Er AM spec 1-50Hz mod time 5000ms  mod amp 0.25,
,14 - rm1 tof,14 - 1064 8.5Er vary 915 tof 5000ms odt snapoff,14 - 1064 8.5Er 915 0.5Er AM spec 1-50Hz mod time 5000ms  mod amp 0.25 bm,
,15 - rm1 tof,15 - redo 14 after fixing PID - 1064 8.5Er vary 915 tof 5000ms odt snapoff,15 - 1064 8.5Er 915 0.5Er AM spec 1-50Hz mod time 1000ms  mod amp 0.05 bm,
,16 - live pd,16 - pzt implementation test,,
,17 - rm1 tof,17 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 3V 5-50Hz,,
,18 - odt hold tof,18 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0V 5-50Hz,,
,19 - bec tof,19 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 1V 5-50Hz,,
,20 - bec repeats,20 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5V 5-50Hz,,
,21 - bec tof,21 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.25V 5-50Hz,,
,22 - 1064 kd,22 - XXXXXXXXXXXXXXX all the data so far is garbage because there was bandmap,,
,23 - 915 kd,23 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0V 5-50Hz,,
,24 - 1064 kd repeats,24 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 1V 5-50Hz,,
,25 - 1 more 1064 kd,25 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5V 5-50Hz,,
,26 - 1064 10Er AM,26 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.25V 5-50Hz,,
,27 - 1064 8.5Er vary 915 tof 5000ms odt snapoff higher values,27 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.1V 5-50Hz,,
,27_   --prep 1064 8.5Er vary 915 tof 5000ms odt snapoff,28 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V 50Hz fixed vary PZT amp,,
,28 - 1064 10Er vary 915 tof 5000ms odt snapoff higher values,29 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V 30Hz fixed vary PZT amp,,
,29 - 1064 12Er vary 915 tof 5000ms odt snapoff higher values,30 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V 10Hz fixed vary PZT amp,,
,30 - 1064 14.5Er vary 915 tof 5000ms odt snapoff higher values,31 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V 3Hz fixed vary PZT amp,,
,31 - 1064 18Er vary 915 tof 5000ms odt snapoff higher values,32 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.1 50Hz fixed vary lattice hold,,
,32 - 1064 14.5Er vary 915 tof 5000ms odt snapoff longer list,33 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5 50Hz fixed vary lattice hold,,
,,34 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 1 50Hz fixed vary lattice hold,,
,,35 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5 30Hz fixed vary lattice hold,,
,,36 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5 10Hz fixed vary lattice hold,,
,,37 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5 3Hz fixed vary lattice hold,,
,,38 - XXXXXXXXXXXXXXX oops I was doing 915 0.5Er. Switching to 0.2Er,,
,,39 - 1064 8.5Er 915 0.2Er lattice hold 5000ms PZT offset 3V amp 0.5V 5-50Hz,,
