G:\StrontiumData\2020\2020.11\11.29,G:\StrontiumData\2020\2020.11\11.30,G:\StrontiumData\2020\2020.12\12.01,G:\StrontiumData\2020\2020.12\12.02,G:\StrontiumData\2020\2020.12\12.03,G:\StrontiumData\2020\2020.12\12.04,G:\StrontiumData\2020\2020.12\12.05,G:\StrontiumData\2020\2020.12\12.06,G:\StrontiumData\2020\2020.12\12.07,G:\StrontiumData\2020\2020.12\12.08,G:\StrontiumData\2020\2020.12\12.09,G:\StrontiumData\2020\2020.12\12.10,G:\StrontiumData\2020\2020.12\12.11,G:\StrontiumData\2020\2020.12\12.12,G:\StrontiumData\2020\2020.12\12.13,G:\StrontiumData\2020\2020.12\12.14,G:\StrontiumData\2020\2020.12\12.15,G:\StrontiumData\2020\2020.12\12.16,G:\StrontiumData\2020\2020.12\12.17
01 - live pd,01 - live pd,01 - live pd,,01 - live pd,01 - live pd,01 - live pd,,01 - live pd,01 - LivePD,01 - live pd,01 - livePD,01 - LivePD,,01 - live pd,01 - LivePD - no MOT,01 - LivePD,01 - live pd,
02 - rm1 tof,02 - rm1 tof,02 - rm1 tof,,02 - rm1,02 - rm1 tof,02 - rm1 tof,,02 - rm1 tof,02 - RM1 TOF,02 - rm1 tof,02 - RM1 TOF,02 - RM1 TOF,,02 - rm1 tof,02 - LivePD,02 - Using BIFROST wavemeter,02 - rm1 tof,
03 - odt hold tof,03 - odt hold tof,03 - live pd,,03 - live pd,03 - rm1 tof,03 - odt hold tof,,03 - rm1 tof repeat,03 - ODT Hold TOF,03 - odt hold,03 - relocked red and blue,03 - ODTHold TOF,,03 - rm1 tof repeat,03 - redMOT-1 Check,03 - LivePD,03 - odt hold tof,
04 - vary evap end,04 - vary evap end,04 - live pd after recoupling rempump,,04 - live pd oven temp increase,04 - rm1 tof lock in a short range,04 - bec vary evap end,,04 - odt hold tof,04 - ODT Hold TOF - again because 2000us tofs low,04 - vary evap end,04 - RM1 TOF,04 - Removing Old TC Optics,,04 - odt hold tof,04 - ODT hold,04 - RM1 TOF,04 - vary evap end,
05 - bec repeats with 0.15,05 - bee repeats,05 - live pd after recoupling slower fiber,,05 - rm1 tof,05 - rm1 tof repeats,05 - live pd,,05 - bec vary evap end,05 - BEC -  Vary evap end,05 - evap end 0.16 tof,05 - ODT Hold TOF,05 - LivePD while removing TC optics,,05 - odt hold tof clock problem again,05 - BEC vary Evap,05 - ODT Hold TOF,05 - bec tof evap end 0.16,
06 - 1064 kd,06 - bec repeats after break,06 - tc adjustment,,06 - rm1 tof after adjusting red laser,06 - odt hold tof,06 - odt hold tof,,06 - bec tof,06 - Laser Died,06 - vary load MT moonitor bec,06 - BEC - vary evap end,06 - RM1 tof,,06 - vary evap end,06 - BEC TOF bad repump mode,06 - BEC - vary evapend,06 - bec repeats,
07 - 1064 kd repeats,07 - rmore repeats,,,07 - odt hold tof,07 - odt hold tof 2500 vary mt load,07 - vary rm1vvaStart looking at ODT,,07 - bec repeats,07 - BEC repeats at 0.16 evap end,07 - bec repeats,07 - BEC TOF - evap end at 0.16,07 - Routed BNC cables for trigger,,07 - bec tof,07 - BEC TOF,07 - BEC TOF - set evap end to 0.16,07 - bec repeats 2,
08 - 1064 am spectroscopy 10Er 6-20kHz,08 - more repeats - 1064 amp reset,,,08 - live pd,08 - vary evap end,08 - vart rm2 time looking at ODT,,08 - bec more repeats,08 - more bec repeats,08 - bec repeats continued,08 - BEC repeats,08 - RM1 TOF,,08 - bec repeats,08 - BEC repeat - laser died early on,08 - BEC Repeats,08 - bec repeats 3,
09 - bec tof,09 - repeats after dinner,,,09 - rm1 tof,09 - vary evap end Load MT 25s,09 - vary evap end,,09 - bec tof,09 - bec repeats,09 - BEC TOF,09 - BEC repeats - pt 2,09 - Live PD,,,09 - BEC Repeats,09 - Laser failed again - restart,09 - 1064 8.5Er 915 0.2Er lattice hold 5000ms PZT offset 5V amp 4.5V 5-50Hz,
10 - tof after loading and unlolading lattice,10 - try 1064 kd,,,10 - rm1 vary rm1vvaStart,10 - BEC Repeats for Beam track test,10 - vary odt hold looking at bec,,10 - try 1064 kd,10 - vary evap end,10 - START LATTICE ALIGNMENT TO BEC,10 - LogtimeTest,10 - LivePD,,,10- BEC Repeats 2 - maybe bad bc repump bad,10 - BEC Repeats,10 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 5V amp 4.5V 1-50Hz,
11 - tof after loading and unloading 100ms ramp,11 - 1064 am spec,,,11 - live pd after dinner break,11 - more bec repeats,11 - bec tof,,11 - odt hold with fake evap,11 - bec tof at 0.16,11 - Switch to side imaging,11 - BEC repeats - pt 3,11 - RM1 TOF,,,11 - FIXING REPUMP,11 - BEC repeats 2,11 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 5V amp 3V 1-50Hz,
12 - tof after loading and unloading 500ms ramp,12 - 915 kd,,,12 - rm1tof,12 - rm1 troubleshoot,12 - bec tof red relocked,,12 - bec repeats while moving picomoter,12 - try 1064 kd,12 - Image BEC in situ to get position,12 - Try move XODT Vertical,12 - relocked red -- added trigger to sequence,,,12 - More BEC Repeats,12 - bec repeats 3,12 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 5V amp 1.5V 1-50Hz,
13 - tof after loading and unloading 750ms ramp,13 - load unload lattice 1064 10Er tof,,,13 - odt hold tof,13 - back to bec repeats,13 - bec repeats,,13 - bec tof,13 - kd repeats,13 - Switched back to vertical,13 - Try to move XODT more,13 - RM1 TOF,,,13 - odt hold tof,13 - bec tof,13 - 1064 8.5Er 915 0.5Er AM spec 1-50Hz mod time 5000ms  mod amp 0.25,
,14 - load unload lattice 1064 10Er 915 0.1Er  tof,,,14 - odt repeats tof 2000,14 - move odt,14 - more bec repeats,,14 - odt hold tof,14 - try kd at new position,14 - 1064KD,14 - BEC TOF,14 - ODT Hold TOF,,,14 - rm1 tof,14 - 1064 8.5Er vary 915 tof 5000ms odt snapoff,14 - 1064 8.5Er 915 0.5Er AM spec 1-50Hz mod time 5000ms  mod amp 0.25 bm,
,15 - load unload lattice 1064 10Er 915 0.5Er  tof,,,15 - bec vary evap end,15 - odt repeats with fake evap,15 - more bec repeats,,15 - odt cw+5 odt hold tof,15 - kd 1064,15 - 1064 Lattice Amplitude Modulation at 10Er,15 - RM1 TOF,15 - ODT Hold - again - added ODT trigger to sequence,,,15 - rm1 tof,15 - redo 14 after fixing PID - 1064 8.5Er vary 915 tof 5000ms odt snapoff,15 - 1064 8.5Er 915 0.5Er AM spec 1-50Hz mod time 1000ms  mod amp 0.05 bm,
,16 - load unload lattice 1064 10Er 915 1Er  tof,,,16 - bec tof evap end 0.15,16 - xodt pico motor walk BEC tof 9000,16 - bec repeats after beam shutter repair,,16 - odt walk bec,16 - bec tof,16 - Repeats for food break,16 - Try to play with red lock,16 -BEC - vary evap end,,,16 - live pd,16 - pzt implementation test,,
,17 - load unload lattice 1064 10Er 915 2Er  tof,,,17 - bec repeats,17 - bec xodt pico motor walk ccw tof 9000,17 - troubleshoot,,17 - bec repeats,17 - bec tof,17 - 1064 Lattice Amplitude Modulation at 10Er,17 - accidentally turned off laser current,17 - copy of 16 bc of BEC issue,,,17 - rm1 tof,17 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 3V 5-50Hz,,
